transaction_amount,merchant_category,payment_method,ip_country,customer_country,velocity_1h,failed_logins,geo_distance,is_new_device,device_risk_score,is_fraud
256940,crypto,wallet,UK,Russia,49,6,4910,1,1.0,1
473354,gaming,debit_card,Germany,UAE,29,8,4710,1,0.777,1
349557,crypto,credit_card,Germany,Singapore,42,3,4522,0,0.969,1
141799,healthcare,credit_card,Nigeria,Germany,17,9,9776,0,0.342,0
271036,crypto,upi,Germany,USA,31,9,13723,1,0.123,1
240031,electronics,credit_card,Singapore,UAE,34,2,14100,0,0.506,1
239729,grocery,credit_card,Singapore,Russia,38,0,4038,1,0.124,1
205141,luxury,wallet,India,Nigeria,37,8,9075,0,0.492,1
174173,fuel,credit_card,UK,UK,4,0,13987,0,0.27,0
207724,luxury,credit_card,India,Russia,2,1,8012,1,0.491,1
417213,luxury,credit_card,UK,Nigeria,12,8,432,0,0.95,1
68248,travel,upi,India,Germany,35,4,12227,1,0.289,1
252901,electronics,upi,Russia,India,6,3,8176,0,0.993,1
124343,healthcare,wallet,Nigeria,UAE,46,8,13689,1,0.229,1
252095,healthcare,credit_card,Singapore,Germany,8,8,9140,0,0.208,1
382418,fuel,upi,USA,India,21,1,13677,1,0.545,1
154655,grocery,upi,USA,USA,46,2,12100,0,0.842,0
386602,travel,wallet,Nigeria,Nigeria,35,2,9860,0,0.75,1
48655,gaming,debit_card,Singapore,Nigeria,48,4,11175,1,0.724,1
256608,grocery,credit_card,Germany,UK,15,2,6549,0,0.283,0
279403,crypto,upi,Singapore,India,7,9,2540,1,0.023,1
372754,grocery,wallet,Singapore,USA,15,5,10306,0,0.162,1
106630,grocery,wallet,Nigeria,Nigeria,45,1,13200,1,0.349,0
80177,luxury,wallet,Singapore,Russia,6,5,391,1,0.972,1
298164,grocery,upi,Germany,India,47,5,83,1,0.92,1
485383,healthcare,credit_card,UK,India,17,1,1003,1,0.201,0
460437,crypto,debit_card,Nigeria,Singapore,4,5,8673,1,0.726,1
200651,crypto,credit_card,Russia,UK,22,5,8969,1,0.579,1
482791,electronics,wallet,USA,UK,32,5,7397,1,0.05,1
281701,grocery,wallet,Nigeria,Germany,22,4,12282,1,0.372,1
459873,luxury,debit_card,UAE,Russia,27,6,9947,0,0.486,1
208361,grocery,credit_card,USA,Singapore,46,4,9441,0,0.668,1
240281,gaming,wallet,USA,Germany,15,0,9329,0,0.295,0
341197,gaming,wallet,Germany,USA,44,8,10892,0,0.934,1
315239,luxury,credit_card,India,Germany,22,2,3257,1,0.452,1
171929,electronics,wallet,Singapore,USA,28,1,9728,1,0.249,1
271936,electronics,credit_card,Singapore,Russia,42,9,3245,0,0.316,1
439074,crypto,wallet,Singapore,Nigeria,38,5,6008,0,0.752,1
465725,crypto,credit_card,India,UK,9,7,523,1,0.64,1
202383,travel,debit_card,Germany,Nigeria,34,1,14221,0,0.742,1
196869,luxury,wallet,Nigeria,USA,36,3,1695,1,0.292,0
37165,grocery,debit_card,Russia,Russia,9,1,2253,0,0.327,0
223265,fuel,wallet,Russia,Nigeria,15,8,4838,1,0.397,1
99399,luxury,wallet,Germany,Germany,45,9,11802,1,0.189,1
425922,travel,upi,UAE,USA,20,1,14655,0,0.691,0
11634,crypto,credit_card,Russia,UAE,8,9,7327,0,0.329,0
487979,luxury,debit_card,Germany,India,28,1,8470,1,0.326,1
40497,luxury,debit_card,Nigeria,Germany,19,4,148,0,0.269,0
257850,crypto,debit_card,Russia,UK,16,4,8149,0,0.453,1
353631,healthcare,credit_card,Singapore,Nigeria,11,6,13066,1,0.772,1
263260,travel,upi,UK,Germany,42,0,13395,0,0.836,1
483105,crypto,debit_card,Germany,UAE,8,1,12707,0,0.805,1
55691,electronics,credit_card,USA,Russia,33,5,10778,1,0.621,1
220984,grocery,wallet,Russia,Russia,10,1,11847,1,0.28,0
23347,crypto,debit_card,Russia,Germany,18,3,3621,1,0.735,0
24400,travel,debit_card,India,UAE,35,9,10632,0,0.039,1
467381,gaming,upi,UAE,Nigeria,43,5,13445,1,0.798,1
82898,electronics,debit_card,UK,Germany,3,6,9132,0,0.78,1
9368,gaming,debit_card,Nigeria,India,40,9,14308,0,0.67,1
349051,fuel,wallet,India,India,27,4,3710,0,0.098,0
274429,crypto,credit_card,Singapore,Singapore,28,7,13916,0,0.997,1
194876,electronics,credit_card,USA,USA,46,5,4338,1,0.756,1
217951,grocery,upi,UAE,Singapore,6,4,5095,0,0.735,1
432415,crypto,wallet,India,Nigeria,47,3,9416,0,0.064,1
401887,grocery,credit_card,Germany,India,14,5,13531,0,0.399,1
236684,healthcare,wallet,Russia,UAE,7,5,7473,1,0.086,1
38144,luxury,credit_card,Russia,USA,10,5,14579,1,0.361,1
313458,gaming,wallet,UAE,Nigeria,15,0,3364,1,0.57,0
454544,electronics,upi,Russia,UAE,31,5,3024,0,0.879,1
376996,grocery,debit_card,Germany,Nigeria,29,0,1818,0,0.283,0
49084,travel,upi,India,Singapore,42,4,11565,1,0.623,1
303018,grocery,credit_card,India,Russia,17,6,14141,1,0.165,1
264812,travel,upi,Russia,UAE,29,0,684,0,0.354,0
120251,crypto,debit_card,Russia,Singapore,49,0,5508,1,0.947,1
455908,electronics,upi,Singapore,Singapore,44,5,6732,0,0.748,1
460879,grocery,credit_card,USA,Singapore,15,6,9425,1,0.546,1
133867,fuel,credit_card,Nigeria,Russia,26,5,11578,0,0.252,1
124475,grocery,upi,UAE,Russia,12,4,8809,0,0.38,0
179362,healthcare,debit_card,India,Germany,25,5,14316,0,0.157,1
136430,fuel,upi,UAE,Russia,41,2,10266,1,0.353,1
480854,electronics,debit_card,Singapore,USA,5,8,2911,1,0.151,1
301748,healthcare,wallet,India,Russia,4,4,14415,0,0.795,1
164331,grocery,debit_card,Singapore,Russia,44,1,13300,1,0.081,1
14086,travel,wallet,Singapore,Russia,48,9,2018,0,0.189,0
61958,grocery,upi,UK,Nigeria,41,9,4224,1,0.691,1
129412,gaming,debit_card,Russia,UAE,31,6,12701,1,0.903,1
12766,crypto,wallet,Germany,Russia,3,2,2185,0,0.965,0
300904,luxury,wallet,UK,USA,3,0,1358,1,0.836,1
134733,travel,wallet,Nigeria,Nigeria,26,2,6692,1,0.211,0
289098,gaming,credit_card,UAE,Singapore,17,8,6532,0,0.286,1
326749,fuel,upi,Germany,UAE,10,4,4667,0,0.871,1
104588,crypto,wallet,UAE,India,2,6,7398,0,0.889,1
183423,electronics,debit_card,Russia,Nigeria,24,2,11256,0,0.641,0
284906,travel,wallet,Germany,Russia,11,3,2469,1,0.314,0
270636,luxury,credit_card,UK,Nigeria,24,0,7292,1,0.224,1
30635,crypto,upi,UAE,Germany,35,2,7256,0,0.852,1
471919,fuel,credit_card,UK,Germany,23,6,3921,1,0.205,1
375813,healthcare,credit_card,Russia,Nigeria,32,3,4237,0,0.662,0
314500,healthcare,credit_card,Germany,Singapore,23,1,1940,0,0.968,1
351379,luxury,debit_card,Germany,Singapore,34,4,3857,0,0.705,1
389722,electronics,upi,India,UAE,41,4,51,1,0.258,1
297466,electronics,upi,Singapore,Germany,19,1,7131,1,0.283,1
77473,fuel,debit_card,Singapore,India,2,5,11169,1,0.093,1
472891,travel,upi,UK,UK,2,9,13717,0,0.686,0
123784,fuel,credit_card,Germany,Germany,15,3,1361,0,0.518,0
489670,grocery,upi,UAE,Nigeria,21,0,6806,1,0.206,1
477967,electronics,debit_card,UK,Germany,35,2,11929,1,0.228,1
456651,crypto,credit_card,UK,USA,5,8,11995,1,0.009,1
273209,grocery,debit_card,USA,UK,43,9,11995,1,0.978,1
24638,healthcare,wallet,Nigeria,Singapore,27,6,8558,0,0.828,1
370310,healthcare,credit_card,Germany,UK,24,5,11148,1,0.394,1
201764,gaming,credit_card,Singapore,Germany,7,0,6031,1,0.946,1
491334,luxury,upi,Germany,Singapore,6,8,3046,0,0.677,0
375496,grocery,credit_card,Russia,UK,46,8,10196,1,0.751,1
139282,luxury,debit_card,UK,Singapore,33,0,11094,1,0.68,1
472625,fuel,upi,USA,Singapore,49,5,258,1,0.757,1
158438,grocery,wallet,USA,UAE,17,6,11652,0,0.171,0
184164,fuel,debit_card,Singapore,India,46,1,45,0,0.562,0
214120,gaming,wallet,Singapore,Singapore,42,9,8461,1,0.849,1
98906,electronics,wallet,Singapore,USA,30,7,1335,0,0.02,0
400226,healthcare,wallet,Russia,Germany,8,7,672,1,0.123,1
373233,gaming,credit_card,USA,Germany,40,5,13590,1,0.246,1
91082,healthcare,debit_card,UAE,USA,46,8,7001,0,0.295,1
121726,electronics,debit_card,Russia,Russia,7,2,3639,1,0.183,0
119276,fuel,credit_card,India,Singapore,6,1,14481,0,0.624,0
393522,electronics,upi,Nigeria,Nigeria,4,1,6086,0,0.294,0
218226,healthcare,wallet,Nigeria,Singapore,1,5,235,0,0.158,0
219069,healthcare,debit_card,UK,Singapore,15,6,6835,1,0.906,1
122509,luxury,credit_card,Nigeria,Nigeria,31,5,3208,1,0.695,0
23519,crypto,wallet,Singapore,UK,25,2,5565,1,0.246,1
443952,gaming,upi,USA,Singapore,47,4,2401,1,0.361,1
253718,grocery,upi,Nigeria,Singapore,33,7,9610,0,0.741,1
245410,healthcare,wallet,UK,USA,35,5,5090,1,0.791,1
50115,gaming,upi,Nigeria,India,5,1,12563,1,0.176,0
248650,luxury,debit_card,Germany,India,5,6,7552,0,0.937,1
122196,electronics,debit_card,Russia,Russia,36,7,5006,0,0.785,1
107159,luxury,debit_card,India,USA,17,3,7491,1,0.857,1
185440,travel,upi,Germany,Singapore,14,0,11447,0,0.144,0
110787,travel,debit_card,Russia,India,29,1,7741,1,0.143,1
350183,grocery,credit_card,Russia,UAE,8,3,8632,1,0.305,1
411457,luxury,debit_card,UAE,UAE,34,6,5183,0,0.065,1
211528,fuel,debit_card,Nigeria,UAE,40,1,14185,0,0.091,1
105978,grocery,upi,UK,Singapore,1,5,14039,1,0.143,1
203082,fuel,debit_card,UAE,Singapore,29,1,13160,1,0.712,1
449360,grocery,wallet,Russia,Nigeria,36,6,651,1,0.03,1
198386,travel,credit_card,Nigeria,Russia,37,1,34,1,0.083,0
249102,grocery,upi,India,Germany,29,2,10945,1,0.944,1
250496,travel,credit_card,USA,Russia,5,8,13155,0,0.084,1
164999,healthcare,wallet,USA,Russia,32,3,3033,1,0.537,0
449136,electronics,upi,Nigeria,UK,24,4,13120,0,0.643,1
324867,fuel,upi,Germany,UAE,19,8,7645,0,0.959,1
475050,luxury,debit_card,UK,Singapore,12,6,1111,0,0.9,1
337694,healthcare,credit_card,Singapore,UAE,1,7,11474,1,0.441,1
355670,healthcare,wallet,Singapore,Russia,7,2,8654,1,0.942,1
380089,grocery,wallet,USA,Singapore,17,3,14417,0,0.432,0
415615,travel,upi,Russia,USA,34,6,8514,0,0.67,1
43685,gaming,debit_card,Russia,Nigeria,43,3,4511,0,0.26,0
371469,fuel,upi,UAE,India,7,1,1875,0,0.637,0
64144,healthcare,upi,Nigeria,India,17,9,3040,0,0.538,0
435873,grocery,upi,UK,Russia,3,5,10430,1,0.607,1
442396,crypto,upi,Nigeria,Germany,29,8,12214,0,0.683,1
109656,electronics,wallet,Nigeria,UAE,22,1,1257,1,0.173,0
2793,electronics,wallet,UAE,USA,38,0,10632,0,0.301,0
488319,gaming,upi,Singapore,Singapore,43,7,12202,0,0.736,1
357503,travel,upi,Nigeria,Germany,29,0,3241,1,0.164,1
243407,grocery,debit_card,USA,UAE,42,0,4264,1,0.344,1
200335,fuel,upi,Germany,Russia,5,2,11495,0,0.666,0
26039,travel,wallet,Nigeria,UAE,30,4,5270,1,0.938,1
442241,electronics,credit_card,Russia,Russia,23,8,10904,1,0.075,1
436257,travel,wallet,Nigeria,UK,21,9,7718,0,0.517,1
153006,electronics,debit_card,USA,India,26,1,1410,0,0.082,0
18147,travel,wallet,India,Germany,47,0,10621,0,0.379,0
288349,gaming,credit_card,USA,India,21,0,1833,1,0.175,1
75866,luxury,upi,India,UAE,20,7,2025,0,0.649,0
409023,gaming,credit_card,UAE,USA,23,9,11539,0,0.758,1
415292,gaming,upi,UAE,Singapore,4,9,5737,1,0.247,1
44362,luxury,upi,Singapore,Russia,21,9,4994,0,0.713,1
387361,luxury,wallet,USA,Singapore,21,1,12124,1,0.447,1
286020,healthcare,wallet,USA,India,1,8,11104,1,0.284,1
161252,healthcare,wallet,India,Nigeria,15,8,14398,0,0.523,0
128476,grocery,debit_card,UAE,USA,17,1,7635,1,0.38,0
460158,fuel,wallet,India,USA,14,2,14864,1,0.23,1
454689,fuel,debit_card,UAE,Singapore,19,1,4958,0,0.757,0
137948,grocery,wallet,India,India,34,5,12438,1,0.798,1
92887,gaming,upi,UAE,Nigeria,6,6,3214,0,0.8,0
128048,gaming,debit_card,India,Singapore,45,5,10356,0,0.382,1
55116,electronics,credit_card,Germany,UAE,49,2,13112,0,0.17,0
402790,electronics,debit_card,UAE,USA,6,2,6209,0,0.84,1
499146,fuel,debit_card,UK,USA,5,1,9645,0,0.329,0
451369,grocery,credit_card,India,UAE,7,1,6454,1,0.748,1
22059,crypto,debit_card,USA,India,33,4,2754,1,0.817,1
136702,healthcare,upi,Singapore,USA,13,7,11094,1,0.768,1
226028,crypto,wallet,UK,Germany,1,5,13742,0,0.39,1
381345,grocery,credit_card,UK,Nigeria,13,8,11264,0,0.938,1
265992,electronics,wallet,India,UK,43,4,7329,0,0.66,1
228676,fuel,upi,Singapore,UK,27,9,12239,0,0.576,1
491414,fuel,credit_card,USA,UK,7,3,306,1,0.698,0
13645,electronics,wallet,UK,Russia,3,8,1385,1,0.045,0
389903,crypto,wallet,USA,Germany,25,9,3368,0,0.391,1
459515,travel,upi,UAE,Russia,33,4,1575,0,0.881,1
165938,travel,wallet,Nigeria,India,40,0,873,0,0.161,0
335774,electronics,upi,Germany,UAE,17,4,8361,1,0.414,1
355801,travel,debit_card,Nigeria,Singapore,45,4,5579,1,0.405,1
61187,luxury,upi,Nigeria,Germany,14,4,9796,0,0.356,0
489155,grocery,debit_card,Singapore,Nigeria,37,1,1031,0,0.562,0
68940,grocery,credit_card,Germany,India,23,5,7765,1,0.996,1
118551,electronics,wallet,Russia,Singapore,24,4,9927,1,0.256,1
447700,gaming,upi,UAE,India,29,1,6732,0,0.705,1
313249,healthcare,upi,Singapore,Russia,38,9,6906,0,0.758,1
439892,crypto,wallet,India,UK,27,7,4443,0,0.584,1
39453,electronics,wallet,Germany,UAE,38,5,3668,1,0.097,1
193175,travel,credit_card,India,Russia,40,9,13023,0,0.572,1
214383,crypto,credit_card,USA,UAE,45,2,1277,1,0.953,1
314977,gaming,upi,Nigeria,Germany,23,8,6554,0,0.342,1
65418,travel,credit_card,UK,Singapore,31,3,543,0,0.64,0
241125,fuel,debit_card,Germany,India,36,2,8547,0,0.959,1
482790,healthcare,credit_card,Russia,USA,17,6,4809,1,0.798,1
416980,luxury,credit_card,India,USA,37,7,12229,0,0.688,1
67272,travel,upi,Singapore,UAE,3,6,7732,1,0.971,1
216788,luxury,debit_card,Germany,UK,36,0,11632,0,0.171,1
257051,crypto,credit_card,Germany,UK,5,0,584,1,0.773,1
93364,luxury,debit_card,UK,UAE,46,4,511,0,0.407,0
246558,crypto,debit_card,UK,Russia,15,7,6677,1,0.36,1
288980,crypto,debit_card,Singapore,USA,49,9,6672,0,0.521,1
225381,crypto,wallet,UK,Russia,6,2,9139,1,0.034,1
496357,crypto,wallet,India,Singapore,10,7,7696,1,0.313,1
112959,crypto,wallet,Singapore,USA,32,2,3474,0,0.166,0
374425,travel,wallet,Nigeria,Singapore,23,3,1199,1,0.139,1
394170,crypto,upi,Singapore,India,48,9,11064,1,0.337,1
352328,travel,credit_card,USA,Russia,17,6,3996,0,0.802,1
431939,crypto,wallet,Russia,UAE,46,2,12114,1,0.201,1
269636,luxury,upi,Germany,USA,20,3,12366,0,0.531,0
317924,fuel,credit_card,USA,Russia,44,7,4536,0,0.749,1
257526,crypto,wallet,Russia,UAE,41,3,5872,1,0.241,1
177889,gaming,credit_card,Singapore,India,15,8,14885,1,0.924,1
218264,crypto,wallet,Germany,USA,44,3,3304,1,0.866,1
313103,crypto,upi,UK,Singapore,46,3,2448,1,0.251,1
125757,luxury,debit_card,Russia,India,22,4,11477,1,0.99,1
235267,healthcare,debit_card,Singapore,UK,6,0,9409,0,0.669,0
157481,grocery,credit_card,Singapore,UAE,4,6,7740,0,0.286,0
480771,luxury,upi,USA,Nigeria,23,8,6845,1,0.681,1
194906,gaming,debit_card,USA,USA,44,8,1291,1,0.666,0
70567,grocery,wallet,UK,USA,45,0,12414,1,0.606,1
183834,electronics,debit_card,Nigeria,Germany,19,5,5835,1,0.712,1
98606,electronics,credit_card,UAE,Germany,45,2,7550,1,0.268,1
109851,healthcare,credit_card,India,India,31,3,6688,0,0.979,0
381150,gaming,upi,UAE,USA,44,7,8694,0,0.858,1
406004,luxury,credit_card,UAE,UAE,3,3,11064,0,0.746,0
287586,travel,debit_card,Germany,India,28,7,7429,1,0.026,1
168329,gaming,debit_card,Nigeria,Singapore,3,3,387,1,0.59,0
461179,fuel,debit_card,Germany,India,14,8,8604,1,0.706,1
368552,grocery,debit_card,UK,India,18,5,13658,0,0.854,1
445399,grocery,upi,Germany,Nigeria,27,0,2007,0,0.946,1
106181,crypto,wallet,Russia,Singapore,10,9,5214,0,0.916,1
459049,electronics,wallet,UK,UK,49,1,14664,0,0.406,0
89145,healthcare,upi,UK,Germany,15,6,2148,1,0.897,1
34798,grocery,credit_card,Singapore,UAE,19,9,3869,1,0.001,0
110178,gaming,wallet,Singapore,UK,9,6,14797,1,0.351,1
342867,grocery,credit_card,Singapore,UK,4,2,9531,1,0.114,1
22771,healthcare,wallet,India,UK,15,0,14361,1,0.883,1
418500,healthcare,credit_card,Russia,Germany,48,7,6038,1,0.928,1
355628,healthcare,upi,Russia,Russia,8,9,6638,0,0.256,0
435423,gaming,debit_card,Singapore,Germany,49,9,353,1,0.367,1
86302,travel,credit_card,UAE,UK,1,6,4965,1,0.984,1
51763,crypto,debit_card,India,Russia,7,9,3189,1,0.566,0
15808,electronics,credit_card,UAE,Singapore,31,7,14535,1,0.497,1
354150,grocery,credit_card,USA,Germany,18,0,1303,1,0.5,0
312055,gaming,credit_card,Russia,UAE,12,2,7750,1,0.696,1
133983,luxury,credit_card,Russia,UK,48,1,847,1,0.955,1
318494,electronics,credit_card,UAE,USA,30,0,13391,1,0.367,1
112647,travel,debit_card,India,Singapore,33,4,13736,0,0.173,1
465398,gaming,credit_card,Russia,Russia,47,2,7522,0,0.185,0
386493,fuel,debit_card,UAE,Germany,7,9,8718,0,0.02,1
34854,fuel,upi,UK,UAE,28,7,14877,1,0.555,1
226914,crypto,wallet,UK,India,49,5,13968,0,0.929,1
237814,crypto,credit_card,Germany,UAE,3,9,2525,1,0.713,1
142583,travel,wallet,India,UAE,43,8,1879,0,0.993,1
134083,travel,debit_card,UAE,UK,6,8,4106,0,0.91,0
460586,crypto,upi,Germany,UK,31,5,3631,1,0.492,1
214935,grocery,upi,UK,Germany,38,1,7671,1,0.487,1
401996,grocery,upi,India,Germany,15,8,13572,1,0.628,1
84996,gaming,wallet,Nigeria,Nigeria,7,1,6668,1,0.111,0
477195,luxury,debit_card,Germany,Russia,43,2,12002,0,0.608,1
71395,gaming,credit_card,Nigeria,Nigeria,30,5,2820,0,0.464,0
219786,luxury,credit_card,Singapore,Germany,27,1,13908,1,0.643,1
362933,travel,debit_card,India,Russia,17,4,5980,0,0.565,1
273355,electronics,wallet,USA,UK,18,1,11100,0,0.31,0
299748,gaming,credit_card,Singapore,UK,22,3,11270,0,0.608,1
132974,gaming,debit_card,Germany,USA,26,2,8078,1,0.366,1
8255,luxury,credit_card,UAE,USA,27,4,12023,1,0.195,1
466972,healthcare,upi,Singapore,Singapore,40,5,9251,1,0.675,1
301628,travel,credit_card,Singapore,UK,24,6,14511,0,0.306,1
374805,travel,wallet,Germany,India,8,9,2490,1,0.889,1
47354,fuel,debit_card,UAE,USA,21,7,11841,1,0.199,1
284162,healthcare,wallet,UAE,Russia,29,8,13459,0,0.6,1
86081,luxury,debit_card,UK,UAE,43,3,5689,1,0.572,1
454029,travel,upi,USA,Germany,21,3,3265,1,0.198,1
30406,healthcare,debit_card,UAE,Germany,3,6,6024,1,0.44,1
147818,crypto,credit_card,Russia,Singapore,31,9,11794,0,0.676,1
309087,healthcare,credit_card,Russia,USA,27,9,2294,1,0.319,1
121075,grocery,upi,USA,UAE,46,8,675,0,0.114,0
358845,fuel,debit_card,India,UAE,27,1,10071,0,0.615,1
484051,crypto,upi,Germany,USA,9,5,6258,0,0.224,1
107612,electronics,credit_card,India,India,33,9,1012,0,0.681,0
147543,gaming,wallet,Russia,India,33,9,8986,0,0.839,1
470687,fuel,upi,UAE,Singapore,26,7,233,0,0.123,1
373716,electronics,wallet,USA,Nigeria,28,4,13990,1,0.438,1
133221,gaming,wallet,India,India,44,4,3028,1,0.445,0
162788,grocery,debit_card,India,Singapore,43,7,13634,0,0.633,1
365971,healthcare,upi,Nigeria,Nigeria,31,0,3610,0,0.334,0
375137,travel,wallet,Germany,Nigeria,1,5,2174,1,0.419,1
283176,crypto,wallet,Singapore,Russia,20,9,3385,1,0.012,1
117896,luxury,debit_card,Russia,Nigeria,12,8,12799,1,0.122,1
292099,crypto,debit_card,UAE,USA,17,5,13796,0,0.57,1
192606,grocery,credit_card,USA,Nigeria,15,6,2329,0,0.216,0
466010,electronics,wallet,India,UAE,34,3,798,1,0.145,1
174188,luxury,credit_card,Germany,Singapore,16,9,7122,0,0.324,0
269644,travel,wallet,Singapore,Germany,4,0,13595,0,0.164,0
380102,grocery,credit_card,Russia,India,8,8,14987,0,0.06,1
173814,luxury,debit_card,Russia,Germany,34,5,3685,0,0.284,0
15251,grocery,upi,Germany,Singapore,46,2,4488,1,0.164,0
444723,healthcare,debit_card,Nigeria,UK,25,3,7691,0,0.799,1
66790,grocery,credit_card,USA,Singapore,15,9,12670,0,0.063,0
4599,travel,credit_card,India,India,28,5,14552,0,0.747,1
6395,fuel,upi,USA,UK,9,5,2590,0,0.383,0
383129,gaming,wallet,Germany,UK,2,8,4702,1,0.675,1
388315,luxury,credit_card,Germany,Nigeria,17,3,12404,0,0.053,0
321284,healthcare,credit_card,USA,India,10,4,8701,0,0.921,1
274427,travel,credit_card,UK,UK,9,4,7668,1,0.767,1
422615,grocery,upi,Singapore,USA,31,2,6415,0,0.14,1
144046,healthcare,debit_card,Russia,UAE,2,1,1464,0,0.219,0
378580,travel,credit_card,UK,Germany,24,7,11555,0,0.644,1
32811,fuel,upi,UAE,USA,19,9,3111,0,0.922,0
267783,healthcare,credit_card,Russia,USA,17,8,1048,1,0.446,1
184523,healthcare,wallet,Russia,India,43,9,4872,1,0.486,1
454583,gaming,upi,Singapore,Nigeria,49,8,13355,1,0.238,1
179526,crypto,credit_card,UAE,India,10,4,5290,0,0.383,0
388307,luxury,upi,India,Germany,28,8,4436,0,0.286,1
133729,gaming,credit_card,UAE,UAE,38,3,8361,1,0.351,0
300604,electronics,debit_card,India,Singapore,48,1,14127,1,0.021,1
213190,luxury,credit_card,Nigeria,USA,28,2,1562,0,0.041,0
133372,gaming,upi,Nigeria,UK,1,0,7860,0,0.681,0
243648,grocery,wallet,UAE,UAE,3,4,6806,0,0.682,0
461813,luxury,wallet,USA,USA,15,0,7813,0,0.33,0
178147,luxury,wallet,Germany,Singapore,10,0,6287,0,0.885,0
283601,travel,credit_card,UAE,Nigeria,21,6,7844,0,0.266,1
